;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschlüssel (ohne GP Netzreseve);;;;Weiterverrechnungsschlüssel (mit GP Netzreseve);;;;;;;;Leistung (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;variable Erzeugungsauslagen [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabhängige Sonstige Kosten [€/Viertelstunden];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlöse Intraday [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TM von;TM bis;Zeit von;Zeit bis;GM-Ident;GM-Art;Tages-TM-Ident;TM-Art;Ursache;Auslösender Prozess;Anforderer;überlastetes Netzelement;Zuständiger RAS-ÜNB;Aktivierungsobjekt;AO-Code;AO-Art;Anschlussregelzone des AO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Art der Anweisung;Gegenläufigkeit;TM-Richtung;Kostenteilungsmechanismus;Kostenstand;Gesamtkosten [€];Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;WV Amprion;WV TenneT;WV TransnetBW;WV 50Hertz;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Menge [MWh];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe variable Erzeugungsauslagen [€];Kosten für An- und Abfahrt [€];Auslagen für die Herstellung der Betriebsbereitschaft oder die Verschiebung einer geplanten Revision;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Arbeitsabhängige Sonstige Kosten [€];Arbeitsunabhängige Sonstige Kosten [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Anteiliger Werteverbrauch [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Entgangene Erlöse Intraday [€];Andere Kosten [€]
04.12.2022;04.12.2022;00:00;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-025;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;Amprion;HAMMUENTROP_10;11WD7KWHU1GBL10E;KW-Block;10YDE-RWENET---I;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Quelle;;Final;3126242,15;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;1268858,53;1718843,89;43406,62;95133,11;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;320;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;;;;;9025;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;33837,59;26708,835;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;18419,585;;;;;3010009,81;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;694,07;0;694,07;694,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694,07;694,07;0;0;694,07;694,07;0;0;694,07;694,07;0;694,07;694,07;694,07;;;;;29150,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;752,7;0;0;981,81;1827,49;1069,59;1801;2357,82;2636,56;1802,02;1504,53;973,54;1085,46;2328,8;1684,5;1430,26;1401,1;1189,56;1500,1;1277,48;1688,41;913,02;1116,8;1188,56;1574,45;1584,78;1072;780,62;746,76;1681,48;1357,27;1369,2;1849,62;1456,24;1841,76;1347,05;2292,05;1386,7;2739,81;5985,08;3139,63;2312,75;1137,03;2269,42;3063,35;1673,19;1029;1089,37;2008,93;2032,41;909,1;0;0;835,15;1017,53;0;0;1118,77;968,48;0;0;901,31;;;;;;;;87081,4;
04.12.2022;04.12.2022;00:00;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-026;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;Amprion;KNAPSACK_20;11WD7KWKN1GBL203;KW-Block;10YDE-RWENET---I;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Quelle;;Final;2782466,25;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;1129329,04;1529831,95;38633,44;84671,84;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;300;430;430;430;430;301;301;301;301;415;415;415;415;300;230;230;300;357;357;357;357;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;;;;;9155,5;17051,0425;17051,0425;17051,0425;17051,0425;17051,0425;17051,0425;17051,0425;16834,85;16834,85;17051,0425;17051,0425;17051,0425;17051,0425;17051,0425;16834,85;21958,5;31690,0425;31690,0425;31690,0425;31690,0425;22031,695;22031,695;22031,695;22031,695;30592,1175;30592,1175;30592,1175;30592,1175;21958,5;16834,85;16834,85;21958,5;26346,8075;26346,8075;26346,8075;26346,8075;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31690,0425;31631,41403;31599,47537;31588,61886;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;31473,85;;;;;2694781,57;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;540,71;363,6;137,56;7,36;280,73;10,63;5,85;4,23;106,21;37,94;12,18;1;20,31;1,28;0,67;3,34;19,66;2,77;5,7;13,76;83,07;69,17;48,41;22,71;100,85;43,8;36,62;76,33;31,88;93,63;400,68;1108,95;42,5;339,4;1717,95;2661,91;1640,85;922,64;892,99;716,93;1097,86;869,77;490,44;598,53;1665,41;1127,28;854,96;830,2;686,26;918,08;719,98;977,59;468,17;624,6;627,14;892,06;901,79;554,23;307,01;322,68;927,77;735,46;789,6;1295,48;783,71;1159,73;882,57;1799,99;877,75;2176,22;5510,7;2613,21;1763,56;654,11;1609,04;2149,39;1117,351356;511,641892;544,597654;1161,07;4137,9;2973,525;570,03;662,785;2687,07;3131,935;1425,005;1312,11;3568,97;3253,965;1472,705;191,565;3029,1;1339,62;405,15;299,49;;;;;87684,68;
04.12.2022;04.12.2022;10:30;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-027;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;Amprion;WEISWEILER_VGTG3;11WD7WEIS5GVGTGU;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;0;40,58734;54,98115;1,38846;3,04305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;04.12.2022;00:00;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-023;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;Amprion;Emsland Block B;11WD7EMSL-G-BLB0;KW-Pool;10YDE-RWENET---I;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Quelle;;Final;1822641,01;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;739761,5;1002108,99;25306,65;55463,88;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;;;;;2640;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;18816,23482;;;;;1806358,54;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4,88;6,86;0,81;0,01;0,59;0;0;0;0,32;0,03;0;0;0;0;0;0;0,01;0;0;0,01;0,29;0,22;0,08;0,04;0,65;0,03;0,02;0,11;0,16;0,91;7,89;21,81;0,04;0,51;24,71;92,48;44,94;97,67;168,71;195,84;141,6;153,13;177,32;247,63;354,7;402,95;231,73;227,6;274,84;248,83;195,81;107,52;228,84;255,53;145,72;111,33;113,28;165,74;70,42;135,22;68,22;121,84;195,1;494,86;91,73;182,76;533,51;1012,41;973,4;1327,75;2195,26;1401,3;726,34;297,43;345,15;107,51;401,55;141,82;126,2;52,73;181,7;84;3,35;13,03;87,41;123,47;21,66;29,39;105,71;72,5;8,01;0,15;71,23;21,19;0,99;1,44;;;;;16282,47;
04.12.2022;04.12.2022;00:00;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-024;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;Amprion;Emsland Block C;11WD7EMSL-G-BLCZ;KW-Pool;10YDE-RWENET---I;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Quelle;;Final;2398695,13;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;973566,55;1318830,17;33304,92;72993,5;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;120;150;180;210;235;235;235;235;235;335;335;335;335;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;;;;;4896,25;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;16454,05597;17314,59629;19896,21725;22477,83821;25059,45917;27210,80997;27210,80997;27210,80997;27210,80997;27210,80997;35816,21317;35816,21317;35816,21317;35816,21317;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;38828,10429;;;;;2356227,02;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4,88;6,86;0,81;0,01;0,59;0;0;0;0,32;0,03;0;0;0;0;0;0;0,01;0;0;0,01;0,29;0,22;0,08;0,04;0,65;0,03;0,02;0,11;0,16;0,91;7,89;21,81;0,04;0,51;24,71;92,48;44,94;97,67;168,71;195,84;141,6;153,13;177,32;247,63;354,7;402,95;231,73;227,6;274,84;248,83;195,81;107,52;228,84;255,53;145,72;121,45;154,47;271,21;134,44;288,87;145,74;260,29;416,81;1057,2;279,36;556,58;1624,79;3083,24;3274,17;4466,06;7384,05;4713,47;2443,15;1000,43;1160,97;361,63;1350,67;477,03;424,51;177,35;611,17;282,55;11,26;43,82;294,03;415,29;72,87;98,85;355,58;243,87;26,95;0,5;239,6;71,28;3,33;4,84;;;;;42468,11;
04.12.2022;04.12.2022;19:00;00:00;RD-22-03372;Redispatch;20221204_RD-22-03372_13(1)MKW-004;Markt-KW 13(1);I;FAP;Amprion/RTE;AMP-RTE / 380kV / Ensdorf - Vigy / Vigy 1-Nord;Amprion;WEISWEILERVGT_H3;11WD7WEIS5GVGTHS;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Senke;;Final;-220643,62;100;0;0;0;100;0;0;0;-220643,62;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-100;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;-210;;;;;-1022,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2934,635017;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;-11596,05095;;;;;-223259,61;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,248387;7,22;7,68;29,39;15,795;21,83;220,74;768,215;60,535;56,285;99,45;262,67;7,35;4,495;10,955;203,605;9,72;129,355;160,715;501,735;;;;;2615,99;
04.12.2022;04.12.2022;19:00;00:00;RD-22-03372;Redispatch;20221204_RD-22-03372_13(1)MKW-005;Markt-KW 13(1);I;Intraday;Amprion/RTE;AMP-RTE / 380kV / Ensdorf - Vigy / Vigy 1-Nord;Amprion;KNAPSACK_20;11WD7KWKN1GBL203;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Senke;;Final;-518232,7;100;0;0;0;100;0;0;0;-518232,7;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-160;-310;-380;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;-430;;;;;-2040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10752,57153;-20856,13287;-25575,17636;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;-29055,1;;;;;-551120,58;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;415,758644;368,858108;481,272346;1161,07;4137,9;2973,525;570,03;662,785;2687,07;3131,935;1425,005;1312,11;3568,97;3253,965;1472,705;191,565;3029,1;1339,62;405,15;299,49;;;;;32887,88;
19.12.2022;19.12.2022;08:00;15:15;RD-22-03479;Redispatch;20221219_RD-22-03479_13(1)MKW-002;Markt-KW 13(1);I;Intraday;Amprion/TenneT DE;AMP-TTG / 380kV / Doerpen West - Hanekenfaehr / Emsland West-Blau;Amprion;Emsland Block C;11WD7EMSL-G-BLCZ;KW-Pool;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;0;50;50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;110;110;110;125;150;175;200;210;210;210;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1757,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
