;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschlüssel (ohne GP Netzreseve);;;;Weiterverrechnungsschlüssel (mit GP Netzreseve);;;;;;;;Leistung [MW];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Variable Erzeugungsauslagen [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabhängige Sonstige Kosten [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlöse Intraday [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TM von;TM bis;Zeit von;Zeit bis;GM-Ident;GM-Art;Tages-TM-Ident;TM-Art;Ursache;Auslösender Prozess;Anforderer;überlastetes Netzelement;Zuständiger RAS-ÜNB ;Aktivierungsobjekt;AO-Code;AO-Art;Anschlussregelzone des AO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Art der Anweisung;Gegenläufigkeit;TM-Richtung;Kostenteilungsmechanismus;Kostenstand;Gesamtkosten [€];Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;WV Amprion;WV TenneT;WV TransnetBW;WV 50Hertz;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Menge [MWh];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe variable Erzeugungsauslagen [€];Kosten für An- und Abfahrt [€];Auslagen für die Herstellung der Betriebsbereitschaft oder die Verschiebung einer geplanten Revision;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe arbeitsabhängige Sonstige Kosten [€];Arbeitsunabhängige Sonstige Kosten [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe anteiliger Werteverbrauch [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe entgangene Erlöse Intraday [€];
03.09.2022;03.09.2022;00:00;01:00;RD-22-02485;Redispatch;20220903_RD-22-02485_NRInland-002;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP / 380kV / Bürstadt - Lambsheim / Bürstadt West;TransnetBW;Reservekraftwerk Altbach/Deizisau Block 1;11WD4AL1U1C1---T;Reserve-KW;10YDE-ENBW-----N;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;280;210;140;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;11:00;11:15;RD-22-02493;Redispatch;20220903_RD-22-02493_Boerse-010;Börse;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP / 380kV / Bürstadt - Lambsheim / Bürstadt West;TenneT DE;Börse TTG (Redispatch);TTG_AO_3;Börse;10YDE-EON------1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;10:30;16:15;RD-22-02493;Redispatch;20220903_RD-22-02493_13(1)MKW-003;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP / 380kV / Bürstadt - Lambsheim / Bürstadt West;TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;11WD4RDK81C8---3;KW-Block;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;12:00;17:00;RD-22-02495;Redispatch;20220903_RD-22-02495_Ausland-004;Ausland;I;Intraday;Amprion;AMP / 220kV / Eiberg - Reisholz / Itterbach West;TransnetBW;Swissgrid Intraday;99XRD-DE-CH-ID-1;ausl. ÜNB;10YCH-SWISSGRIDZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Schätzung;2227587,78;100;0;0;0;100;0;0;0;2227587,78;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73796,25;73212,5;403535;403010;80995;80743,75;80765;80748,75;87659,7425;82458,9016666667;82676,9516666667;76492,26;78129,325;78025,35;78029,77;78123,0041666667;61621,7091666667;81541,5333333333;82448,9866666667;83573,9942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2227587,7783666668;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;12:30;17:00;RD-22-02498;Redispatch;20220903_RD-22-02498_13(1)_Sub-021;Sub-TM (Akt. Sub-AO);I;Intraday;TenneT DE/Amprion;AMP-TTG / 380kV / Dettingen - Großkrotzenburg / Untermain Süd-1;TenneT DE;OWP Butendiek AC122;C1084219553;Windpark (Sub-AO);10YDE-EON------1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-33,716;-33,784;-34,134;-34,062;-34,033;-34,194;-34,721;-34,146;-33,515;-32,842;-33,248;-33,771;-34,392;-35,188;-36,42;-36,391;-36,325;-36,303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-155,29625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;12:30;17:00;RD-22-02498;Redispatch;20220903_RD-22-02498_13(1)_Sub-022;Sub-TM (Akt. Sub-AO);I;Intraday;TenneT DE/Amprion;AMP-TTG / 380kV / Dettingen - Großkrotzenburg / Untermain Süd-1;TenneT DE;OWP Butendiek AC123;C1084219561;Windpark (Sub-AO);10YDE-EON------1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-33,716;-33,784;-34,134;-34,062;-34,033;-34,194;-34,721;-34,146;-33,515;-32,842;-33,248;-33,771;-34,392;-35,188;-36,42;-36,391;-36,325;-36,303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-155,29625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;12:30;17:00;RD-22-02498;Redispatch;20220903_RD-22-02498_13(1)_Sub-023;Sub-TM (Akt. Sub-AO);I;Intraday;TenneT DE/Amprion;AMP-TTG / 380kV / Dettingen - Großkrotzenburg / Untermain Süd-1;TenneT DE;OWP DanTysk AC120 Tranche 1;C1084219595;Windpark (Sub-AO);10YDE-EON------1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21,806;-21,441;-21,316;-20,935;-20,841;-20,767;-20,829;-20,745;-20,843;-21,03;-21,049;-20,951;-20,719;-20,417;-20,846;-20,393;-19,972;-19,128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-93,507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
03.09.2022;03.09.2022;12:30;17:00;RD-22-02498;Redispatch;20220903_RD-22-02498_13(1)_Sub-024;Sub-TM (Akt. Sub-AO);I;Intraday;TenneT DE/Amprion;AMP-TTG / 380kV / Dettingen - Großkrotzenburg / Untermain Süd-1;TenneT DE;OWP DanTysk AC121 Tranche 1;C1084219602;Windpark (Sub-AO);10YDE-EON------1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;;Offen;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21,807;-21,441;-21,316;-20,935;-20,841;-20,767;-20,83;-20,745;-20,844;-21,03;-21,049;-20,952;-20,719;-20,417;-20,846;-20,393;-19,972;-19,128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-93,508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
